127.0.0.1 - - [11/Apr/2019:18:24:02 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:31:51 +0300] "GET /Users/shachardavid/projects/SchoolProjects/htmlAndCss/register.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:32:18 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:32 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:32 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:33 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:33 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:33 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:34 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:34:34 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:36:38 +0300] "GET /JspProject/register.html HTTP/1.1" 200 18301
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:36:38 +0300] "GET /JspProject/style.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:36:38 +0300] "GET /JspProject/functions.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:36:43 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:37:09 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:38:50 +0300] "GET /JspProject/register.html HTTP/1.1" 200 14695
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:38:50 +0300] "GET /JspProject/style.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:38:50 +0300] "GET /JspProject/functions.js HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:39:24 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:39:41 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:40:00 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:40:11 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:44:00 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:45:08 +0300] "POST /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:15 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:16 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:17 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:17 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:18 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:18 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:18 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:18 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:47:18 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:49:09 +0300] "GET /JspProject/register.html HTTP/1.1" 200 14694
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:49:09 +0300] "GET /JspProject/style.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:49:09 +0300] "GET /JspProject/functions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:49:31 +0300] "GET /Users/shachardavid/projects/eclipse-workspase/JspProject/WebContent/serverCon.jsp?username=d&password=2&password_confirm=2&email=d%40e&email_confirm=d%40e&compType=FLL&teamNumber=12&country=%E0%E5%E6%E1%F7%E9%F1%E8%EF&teamJob=d&rookieTime= HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Apr/2019:18:53:45 +0300] "GET /JspProject/serverCon.jsp HTTP/1.1" 200 66
